Id,Label,poids,style,instrument
0,benedictquinn,1,jazz,guitar
1,jasmineoakleymusic,4,jazz,guitar
2,pastelmusique,6,jazz,guitar
3,thatdappermusician,5,jazz,piano
4,rubenwan,2,pop,guitar
5,katpenkin,0,rap,None
6,orlarae__,1,rap,None
7,blowsom_tiktok,0,pop,None
8,emmahoet,2,None,piano
9,jacksonmathod,0,funk,None
10,profflutebae,1,None,flute
11,dompalombimusic,6,jazz,bass
12,huberjonathan,1,None,None
13,vadesings,2,jazz,None
14,ralphb0ne,2,jazz,chords
15,jamieboymusic,0,rnb,None
16,bandlab,9,None,None
17,gmurray888,1,gospel,None
18,danaegreenfield,1,jazz,guitar
19,julia.lange.guitar,1,funk,guitar
20,nickymoon_custom_cymbals,0,None,drums
21,johnmarknelson,5,None,guitar
22,connorterrones,2,hiphop,guitar
23,_miri_music,1,jazz,guitar
24,maxoto_,0,None,None
25,saucyvocals,1,rnb,None
26,midenaike,2,house,piano
27,thebrocktrumpet,2,jazz,piano
28,rob_o_code,3,None,tuba
29,dragonfingerdrums,1,jazz,drums
30,whatisthishonestly_,1,None,None
31,_imbored.lol,1,rap,None
32,solocelo_,1,pop,None
33,ysbsevv,1,pop,None
34,ladler,3,pop,bass
35,.babycartel,1,rap,None
36,johnnygorillas,0,hiphop,guitar
37,madklout,0,pop,None
38,zcbender,0,gospel,None
39,christofersco21,6,funk,None
40,juliaprattmusic,4,None,None
41,glenwoodcrowe,3,rap,tuba
42,ronartisii,2,funk,guitar
43,__legrand__,2,jazz,guitar
44,kkaitlynwilliamss,2,None,None
45,orangewood,0,indie,guitar
46,oliparker_music,3,jazz,None
47,legendaryriffs,6,None,None
48,affsassemble,0,None,saxophone
49,g_n_tasteofjamaica,0,None,None
50,jimlapbap,5,jazz,None
51,sammyhaigmusic,0,jazz,piano
52,bigboifhorn,2,rap,None
53,pookman4,2,jazz,guitar
54,bensrightbrain,8,None,None
55,midtiien,0,rap,None
56,asap9uappo,1,rap,None
57,jaminthevan,7,rock,None
58,playwithgum,0,None,None
59,evntyd_,3,pop,guitar
60,ethanhodges02,0,rap,guitar
61,its_thebeardedguitarist,0,jazz,guitar
62,kevinogarrett,2,None,None
63,boydeco,2,jazz,guitar
64,louis_inglis,0,rock,guitar
65,biggsizzkc,0,rap,None
66,thunderstormartis,1,None,None
67,kbthesinger,1,rock,None
68,thedrummerboy9,0,metal,drums
69,deathstar696,0,None,None
70,noazart,0,gospel,None
71,theclarkbeckham,0,None,piano
72,sammiejaymusic,0,rap,None
73,jhocampanelli,1,None,None
74,amayamusic0fficial,1,pop,None
75,jermarcusriggins,1,None,None
76,lazerboui,0,None,None
77,thescribbles_,2,rock,None
78,liam.boehme,0,None,bass
79,theopenscore,0,classical,guitar
80,drumcorpskat,0,blues,tuba
81,ruizhaven,0,rock,None
82,wise.john,1,jazz,bass
83,adamjdorfmanmusic,1,jazz,guitar
84,abedin_saxstuff,2,None,piano
85,brentathen,0,indie,guitar
86,portia_davis,0,funk,None
87,thebassvault,0,jazz,bass
88,bluhauz,0,rock,guitar
89,flipturn,0,rock,guitar
90,michiganderband,0,rock,None
91,grizfolkofficial,0,pop,drums
92,realquinnsullivan,0,rock,guitar
93,dustbowlrevival,0,None,None
94,sublimeofficial,0,punk,None
95,nicken_chuggets078,0,rock,guitar
96,valleypalace,0,rock,None
97,elison.music,0,rock,bass
98,tiana.ohara,1,groove,guitar
99,swanlikethebird_,0,jazz,guitar
100,popularchoiceclothing,0,rock,None
