user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
benedictquinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,"follower_count : 811
following_count : 139
likes_count : 4973
video_count : 69
last_active : 2021-11-03
freq_post : 9 days
","jasmineoakleymusic
itsolihannaford
augie_bello","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149 (mention, vidéo num: 9)
itsolihannaford : https://tiktok.com/@benedictquinn/video/6947652360986561798 (mention, vidéo num: 20)
","instruments : guitar (16), bass (8), drums (1), synth (2), chords (8), saxophone (1)
styles : jazz (7), rnb (2), hiphop (3), indie (1), groove (5), neosoul (5), indiemusic (1), lofi (8)
others : asktiktok, music, instrumental, chill, lofi, duetwithme, lofihiphop, guitar, beat, chillmusic, naturevibes, lofichill, musicforyou, fypシ, fyp, indie, indiemusic, acoustic, singersongwriter, chillvibes
"
jasmineoakleymusic,"Artist, pre-save my debut single ‘Gone’ below",False,"follower_count : 5524
following_count : 64
likes_count : 65400
video_count : 63
last_active : 2022-01-22
freq_post : 10 days
","rubenwan
tenitinks1
pastelmusique
benedictquinn
thatdappermusician","rubenwan : https://tiktok.com/@jasmineoakleymusic/video/6946008339134418181 (duo, vidéo num: 28)
tenitinks1 : https://tiktok.com/@jasmineoakleymusic/video/7053426673982639365 (mention, vidéo num: 3)
pastelmusique : https://tiktok.com/@jasmineoakleymusic/video/7048627943026724102 (mention, vidéo num: 9)
benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078 (mention, vidéo num: 11)
thatdappermusician : https://tiktok.com/@jasmineoakleymusic/video/6960587530571992326 (mention, vidéo num: 13)
","instruments : guitar (13), bass (3), piano (2), drums (2)
styles : jazz (2), rap (1), rnb (22), neosoul (2), gospel (3)
others : music, singer, riffs, riffsandruns, fy, fyp, rnb, piano, keys, paino, jam, musician, water, nature, calm, relaxing, somydarling, beyourgirl, riff, release
"
itsolihannaford,Posting beats here and there,False,"follower_count : 65
following_count : 26
likes_count : 221
video_count : 3
last_active : 2021-04-21
freq_post : 8 days
","benedictquinn
nothing_neue","benedictquinn : https://tiktok.com/@itsolihannaford/video/6947576160473713925 (mention, vidéo num: 2)
","instruments : bass (1), drums (1)
styles : jazz (3), neosoul (3), lofi (1)
others : jazz, beats, lofibeats, neosoul, jam, jazzguitar, lofi, bass, drums, boombap
"
tenitinks1,Artist & Background vocalist to the stars 💫,False,"follower_count : 284
following_count : 263
likes_count : 640
video_count : 8
last_active : 2022-01-04
freq_post : 54 days
",,,"instruments : 
styles : 
others : hrsandhrs, munilonghourschallenge, victoriamonet, fuck, frienducankeep, cover, singer, tiktoksinger, lovegalore, sza, tenitinks, coversong, singingvids, singers, live, summerwalkerchallenge, harmonies, angel, vocals, wonderful
"
pastelmusique,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,"follower_count : 1263
following_count : 96
likes_count : 6578
video_count : 114
last_active : 2022-01-26
freq_post : 0 days
","tessaviolet
perfectprophet11
pastelmusique
xanderrascall
captured_by_zohaib
wilmore.music","pastelmusique : https://tiktok.com/@pastelmusique/video/7056371273768684805 (mention, vidéo num: 10)
xanderrascall : https://tiktok.com/@pastelmusique/video/7056083774735502597 (mention, vidéo num: 11)
captured_by_zohaib : https://tiktok.com/@pastelmusique/video/7054178415238270213 (mention, vidéo num: 19)
wilmore.music : https://tiktok.com/@pastelmusique/video/7053835221044710662 (mention, vidéo num: 23)
","instruments : 
styles : 
others : celebritylookalike, newmusicartist, celebritytwinchallenge, johnnydepplookalike, indiemusicartist, musicproducerlifestyle, musicstudiodesk, cantfocusforshit, lifeofamusicproducer, idsong, askingstrangersquestions, helpmefindasong, omeglemusic, dobiastray, demosong, notabigdealatall, videoshoottime, musicroom, musicstudiosetup, musicartist👻
"
thatdappermusician,Keys mainly🎹among other things,False,"follower_count : 687
following_count : 454
likes_count : 6024
video_count : 58
last_active : 2022-01-23
freq_post : 6 days
","rjthecomposer
jeremyolenski
profflutebae
amandlafr
dompalombimusic
huberjonathan
vadesings
caseybassy
ralphb0ne
laurathelegs
sampopemusic
raquel.themartins
ellenonceagain
foolishfrankie
torreredman
damoyee
wizeprep
theonlytylerl
andrew.hadro
rorymckenna93
staceyryanmusic
alexengelberg
tiktok
andpacker
maha_yrysbekova
alesssos
meganhealytv
projectatlanticmusic
jimm3rz","profflutebae : https://tiktok.com/@thatdappermusician/video/6989540503507242246 (duo, vidéo num: 6)
dompalombimusic : https://tiktok.com/@thatdappermusician/video/6974904235649535238 (duo, vidéo num: 8)
huberjonathan : https://tiktok.com/@thatdappermusician/video/6968427695713651974 (duo, vidéo num: 12)
vadesings : https://tiktok.com/@thatdappermusician/video/6966966493846244613 (duo, vidéo num: 14)
ralphb0ne : https://tiktok.com/@thatdappermusician/video/6951125766427970822 (duo, vidéo num: 20)
raquel.themartins : https://tiktok.com/@thatdappermusician/video/6942883016842677509 (duo, vidéo num: 28)
theonlytylerl : https://tiktok.com/@thatdappermusician/video/6936215679314005253 (duo, vidéo num: 37)
andrew.hadro : https://tiktok.com/@thatdappermusician/video/6930282090340683013 (duo, vidéo num: 46)
alesssos : https://tiktok.com/@thatdappermusician/video/6964270665725725958 (mention, vidéo num: 16)
projectatlanticmusic : https://tiktok.com/@thatdappermusician/video/6932121200319532293 (mention, vidéo num: 45)
","instruments : bass (1), piano (1), chords (2), saxophone (1)
styles : jazz (3), funk (1), pop (1), hiphop (1), lofi (1), gospel (1)
others : jazztok, cedarwalton, musicschool, christmas, piano, jazz, ewf, september, feelgood, vibes, pop, effect, synths, head, duet, musician, unresolved, flutetok, cover, videogamemusic
"
rubenwan,listen to my music ↓ ↓ ↓,False,"follower_count : 55700
following_count : 83
likes_count : 376900
video_count : 95
last_active : 2022-01-25
freq_post : 11 days
","jamieboymusic
bandlab
dojacat",,"instruments : guitar (26), chords (8)
styles : pop (1), rap (2), rnb (3), neosoul (4), house (1)
others : guitar, acousticguitar, fyp, singers, songwriter, producer, guitartok, lyrics, singing, acoustic, chords, music, rnb, kpop, cantautor, panama, rnbvibes, espanol, relapse, neosoul
"
xanderrascall,"I like music so that is what you’ll find here🎸
Check out my new video on YT👇🏼",False,"follower_count : 36
following_count : 81
likes_count : 367
video_count : 7
last_active : 2021-11-13
freq_post : 55 days
",joycrookesmusic,,"instruments : guitar (5)
styles : 
others : fyp, foryourpage, foryou, randb, randbmusic, newmusic, newsong, guitar, cover, youtube, justthetwoofus, tadow, lavishlullaby, joycrookes, sing, vibin, improvising, originalmusic, led, vibe
"
captured_by_zohaib,"Manchester United’s Content Creator ⚽️
& Freelancer📸
🏎F1 Ferrari & McLaren Fan",False,"follower_count : 1395
following_count : 209
likes_count : 18400
video_count : 30
last_active : 2022-01-25
freq_post : 22 days
","manutd
astonmartinf1team
callux
porsche
aaronjharrison18
7th.era","aaronjharrison18 : https://tiktok.com/@captured_by_zohaib/video/6948357920308448518 (mention, vidéo num: 20)
","instruments : 
styles : 
others : carphotography, carphotographer, carphotographytips, caredits, careditspov, povphotography, povphotographer, cars, mufc, manutd, manchesterunited, oldtrafford, unitedontiktok, manunited, juanmata, ericbailly, amaddiallo, cr7, fyp, soccer
"
wilmore.music,"(link in Insta bio ⬆️ )
• Remixer💿
• Beat Maker🤝
• Multi-Electronic Producer⚡️",False,"follower_count : 56
following_count : 102
likes_count : 178
video_count : 6
last_active : 2022-01-12
freq_post : 13 days
","seids
samfender",,"instruments : piano (1), drums (1), saxophone (1)
styles : lofi (1), house (2)
others : lofi, lofihiphop, beat, drummachine, drumpad, cheetos, isolation, musicproducer, musicproduction, sampleflip, chillbeats, dontquityourdaydream, dontquit, motivation, motivational, music, musician, piano, artist, dream
"
