Source,Target,Type,Weight
0,1,undirected,1.0
1,0,undirected,1.0
1,2,undirected,1.0
1,3,undirected,1.0
2,4,undirected,1.0
2,5,undirected,1.0
2,6,undirected,1.0
2,7,undirected,1.0
2,8,undirected,1.0
2,9,undirected,1.0
3,10,undirected,1.0
3,11,undirected,1.0
4,12,undirected,1.0
4,13,undirected,1.0
5,14,undirected,1.0
5,15,undirected,1.0
5,16,undirected,1.0
5,17,undirected,1.0
6,18,undirected,1.0
7,19,undirected,1.0
8,20,undirected,1.0
8,21,undirected,1.0
8,22,undirected,1.0
9,23,undirected,1.0
9,8,undirected,1.0
9,24,undirected,1.0
9,25,undirected,1.0
9,4,undirected,1.0
11,26,undirected,1.0
11,27,undirected,1.0
11,28,undirected,1.0
11,29,undirected,1.0
11,30,undirected,1.0
11,31,undirected,1.0
11,32,undirected,1.0
11,33,undirected,1.0
11,34,undirected,1.0
11,35,undirected,1.0
12,36,undirected,1.0
12,37,undirected,1.0
12,38,undirected,1.0
15,39,undirected,1.0
15,40,undirected,1.0
15,41,undirected,1.0
15,42,undirected,1.0
15,43,undirected,1.0
15,44,undirected,1.0
15,45,undirected,1.0
15,46,undirected,1.0
16,47,undirected,1.0
16,48,undirected,1.0
17,49,undirected,1.0
19,50,undirected,1.0
19,51,undirected,1.0
19,52,undirected,1.0
19,53,undirected,1.0
20,54,undirected,1.0
20,55,undirected,1.0
22,56,undirected,1.0
22,57,undirected,1.0
22,58,undirected,1.0
22,59,undirected,1.0
23,60,undirected,1.0
23,59,undirected,1.0
23,61,undirected,1.0
24,62,undirected,1.0
24,63,undirected,1.0
24,64,undirected,1.0
26,11,undirected,1.0
27,11,undirected,1.0
28,11,undirected,1.0
29,65,undirected,1.0
30,66,undirected,1.0
30,67,undirected,1.0
31,11,undirected,1.0
31,68,undirected,1.0
31,69,undirected,1.0
33,70,undirected,1.0
35,71,undirected,1.0
36,72,undirected,1.0
36,73,undirected,1.0
37,74,undirected,1.0
37,75,undirected,1.0
37,76,undirected,1.0
38,77,undirected,1.0
39,78,undirected,1.0
39,7,undirected,1.0
39,15,undirected,1.0
39,79,undirected,1.0
39,80,undirected,1.0
40,15,undirected,1.0
40,81,undirected,1.0
41,82,undirected,1.0
41,83,undirected,1.0
41,15,undirected,1.0
42,15,undirected,1.0
42,84,undirected,1.0
43,15,undirected,1.0
43,59,undirected,1.0
44,45,undirected,1.0
44,85,undirected,1.0
44,86,undirected,1.0
44,87,undirected,1.0
44,88,undirected,1.0
44,89,undirected,1.0
45,15,undirected,1.0
46,15,undirected,1.0
46,90,undirected,1.0
46,91,undirected,1.0
46,92,undirected,1.0
47,93,undirected,1.0
47,16,undirected,1.0
49,17,undirected,1.0
49,94,undirected,1.0
49,95,undirected,1.0
50,96,undirected,1.0
50,97,undirected,1.0
50,98,undirected,1.0
50,99,undirected,1.0
50,100,undirected,1.0
50,101,undirected,1.0
52,102,undirected,1.0
55,8,undirected,1.0
55,103,undirected,1.0
55,104,undirected,1.0
55,59,undirected,1.0
55,105,undirected,1.0
55,22,undirected,1.0
55,106,undirected,1.0
55,107,undirected,1.0
56,108,undirected,1.0
56,109,undirected,1.0
56,110,undirected,1.0
56,111,undirected,1.0
56,112,undirected,1.0
60,114,undirected,1.0
62,115,undirected,1.0
62,116,undirected,1.0
63,117,undirected,1.0
63,118,undirected,1.0
63,119,undirected,1.0
64,120,undirected,1.0
64,121,undirected,1.0
64,122,undirected,1.0
64,123,undirected,1.0
64,5,undirected,1.0
64,124,undirected,1.0
64,125,undirected,1.0
65,126,undirected,1.0
65,127,undirected,1.0
68,128,undirected,1.0
68,129,undirected,1.0
68,130,undirected,1.0
68,131,undirected,1.0
68,132,undirected,1.0
68,133,undirected,1.0
73,134,undirected,1.0
73,135,undirected,1.0
73,136,undirected,1.0
74,37,undirected,1.0
75,137,undirected,1.0
75,138,undirected,1.0
76,139,undirected,1.0
77,140,undirected,1.0
79,141,undirected,1.0
79,142,undirected,1.0
80,143,undirected,1.0
80,144,undirected,1.0
80,145,undirected,1.0
81,15,undirected,1.0
82,146,undirected,1.0
82,147,undirected,1.0
84,148,undirected,1.0
85,149,undirected,1.0
88,150,undirected,1.0
90,151,undirected,1.0
91,46,undirected,1.0
91,90,undirected,1.0
96,152,undirected,1.0
96,153,undirected,1.0
99,154,undirected,1.0
99,155,undirected,1.0
100,156,undirected,1.0
100,99,undirected,1.0
100,157,undirected,1.0
101,158,undirected,1.0
101,50,undirected,1.0
102,159,undirected,1.0
103,160,undirected,1.0
105,161,undirected,1.0
105,162,undirected,1.0
105,163,undirected,1.0
105,61,undirected,1.0
105,121,undirected,1.0
105,164,undirected,1.0
106,165,undirected,1.0
106,166,undirected,1.0
106,167,undirected,1.0
107,164,undirected,1.0
107,24,undirected,1.0
107,8,undirected,1.0
107,168,undirected,1.0
107,105,undirected,1.0
108,170,undirected,1.0
108,171,undirected,1.0
109,172,undirected,1.0
110,173,undirected,1.0
111,56,undirected,1.0
112,174,undirected,1.0
112,22,undirected,1.0
112,175,undirected,1.0
114,22,undirected,1.0
114,176,undirected,1.0
117,180,undirected,1.0
118,120,undirected,1.0
118,63,undirected,1.0
118,181,undirected,1.0
119,182,undirected,1.0
121,183,undirected,1.0
121,184,undirected,1.0
121,185,undirected,1.0
122,186,undirected,1.0
123,187,undirected,1.0
124,188,undirected,1.0
124,189,undirected,1.0
124,190,undirected,1.0
124,191,undirected,1.0
124,192,undirected,1.0
125,64,undirected,1.0
126,193,undirected,1.0
126,194,undirected,1.0
141,79,undirected,1.0
142,79,undirected,1.0
143,80,undirected,1.0
145,7,undirected,1.0
145,12,undirected,1.0
149,85,undirected,1.0
163,23,undirected,1.0
163,105,undirected,1.0
165,106,undirected,1.0
173,110,undirected,1.0
176,177,undirected,1.0
181,164,undirected,1.0
182,119,undirected,1.0
192,5,undirected,1.0
193,126,undirected,1.0
