Id,Label,poids,style,instrument
0,benedictquinn,1,0,0
1,jasmineoakleymusic,3,0,0
2,thatdappermusician,6,0,2
3,rubenwan,2,3,0
4,profflutebae,2,,8
5,dompalombimusic,4,0,1
6,huberjonathan,1,0,
7,vadesings,1,0,
8,alesssos,3,0,4
9,ralphb0ne,5,0,5
10,jamieboymusic,0,6,
11,bandlab,10,,
12,danfabervocalstudio,3,,
13,gmurray888,0,16,
14,nickymoon_custom_cymbals,0,,3
15,johnmarknelson,8,,0
16,connorterrones,2,7,0
17,_miri_music,1,0,0
18,maxoto_,0,4,
19,saucyvocals,4,6,
20,kirstenoboe,2,0,
21,konaemannys,1,,4
22,jessegtrumpet,4,0,
23,thebrocktrumpet,3,0,2
24,rob_o_code,3,,4
25,ellie_flowers,1,2,
26,heyitsallzz,1,4,
27,whatisthishonestly_,1,,
28,_imbored.lol,1,4,
29,solocelo_,1,3,0
30,ysbsevv,2,,
31,ladler,3,3,1
32,.babycartel,1,4,
33,johnnygorillas,1,7,0
34,madklout,0,3,
35,rainbowdrop360,1,,
36,hollsdolls18,3,3,
37,anileelist,3,,
38,gianna.caruso.music,1,,
39,christofersco21,6,1,
40,juliaprattmusic,3,,
41,mandagracemusic,3,,
42,ronartisii,2,1,0
43,__legrand__,2,0,0
44,itsbrux,7,3,
45,mmeadows4u,2,0,1
46,sarah_ann_nelson,4,4,
47,kkaitlynwilliamss,2,4,
48,orangewood,0,4,0
49,oliparker_music,3,0,
50,legendaryriffs,6,,
51,theofficialterrellshow,0,3,
52,_gabbysamone,1,,
53,cardazzle,0,,
54,distrokid,0,,
55,samthehorn,9,13,0
56,andrewhill_music,6,,0
57,jeffreyeast,0,4,
58,renaejaera,1,0,1
59,sammyhaigmusic,0,0,0
60,jimlapbap,2,0,0
61,robertkomaniecki,0,7,0
62,bigboifhorn,3,4,
63,pookman4,3,0,0
64,bensrightbrain,8,,
65,2xcxm,2,4,
66,asap9uappo,0,4,
67,celinedreamx,0,4,
68,jaminthevan,6,2,
69,playwithgum,0,,
70,antoine4711,0,,
71,dishu.chan,0,4,
72,lumber_jakey,0,,
73,max_pinson,3,10,
74,andreapvalles,1,4,3
75,theyhavetherange,2,3,
76,williespence,1,,
77,lillianaaaaaaaaaaaaaaaa,2,,
78,its_thebeardedguitarist,0,0,0
79,itspoppymoon,2,,
80,pat.smith85,3,3,
81,kevinogarrett,2,,
82,alexdavidkimball,2,2,0
83,jacktjames_,0,,0
84,thunderstormartis,1,,
85,verablueofficial,1,,
86,iamkucka,0,,
87,annie_bass,0,3,2
88,patloktok,1,1,
89,uncleswerve,0,,0
90,taylorcarroll.art,1,,
91,masholand,2,4,
92,jennyowenyoungs,0,,
93,kbthesinger,0,2,
94,thedrummerboy9,0,5,3
95,deathstar696,0,,
96,noazart,2,16,
97,theclarkbeckham,0,,2
98,sammiejaymusic,0,4,
99,jhocampanelli,3,,
100,amayamusic0fficial,3,3,
101,jermarcusriggins,2,,
102,officiallycharity,1,4,2
103,allanrandallpercus,1,,2
104,addisonkotu,0,,
105,samuelplaysbrass,7,0,0
106,curlyheadseth_209,3,2,0
107,thicc_boi_choi,5,,4
108,jayfenichel,2,2,3
109,oneraymusic,1,2,0
110,jaimensather,1,,0
111,madisongracemusic_,1,2,
112,garthrivers,3,,3
113,thatsokidd,0,4,
114,charliswears,3,0,
115,mattp054,0,4,
116,drumcorpskat,0,13,4
117,ruizhaven,1,2,
118,blowbrass,3,,4
119,benthomsonmusic,1,4,0
120,wise.john,1,0,1
121,adamjdorfmanmusic,4,0,0
122,brentathen,1,8,0
123,portia_davis,2,1,0
124,thebassvault,5,0,1
125,bensleftbrain,2,,
