Source,Target,Type
0,1,undirected
0,2,undirected
1,6,undirected
1,3,undirected
1,4,undirected
1,0,undirected
1,5,undirected
2,0,undirected
4,4,undirected
4,7,undirected
4,8,undirected
4,9,undirected
5,10,undirected
5,11,undirected
5,12,undirected
5,13,undirected
5,15,undirected
5,16,undirected
5,17,undirected
5,19,undirected
5,14,undirected
5,18,undirected
8,20,undirected
10,21,undirected
11,22,undirected
11,14,undirected
11,28,undirected
11,29,undirected
11,30,undirected
11,23,undirected
11,24,undirected
11,25,undirected
11,26,undirected
11,27,undirected
13,33,undirected
13,34,undirected
13,35,undirected
13,31,undirected
13,32,undirected
14,36,undirected
14,37,undirected
14,38,undirected
14,39,undirected
14,40,undirected
15,42,undirected
15,43,undirected
15,44,undirected
15,46,undirected
15,41,undirected
15,14,undirected
15,10,undirected
15,45,undirected
16,47,undirected
17,48,undirected
17,49,undirected
23,11,undirected
24,44,undirected
24,10,undirected
24,11,undirected
25,26,undirected
26,25,undirected
32,13,undirected
32,34,undirected
32,31,undirected
34,34,undirected
36,39,undirected
36,14,undirected
37,14,undirected
37,37,undirected
38,38,undirected
39,14,undirected
39,38,undirected
39,39,undirected
40,14,undirected
44,24,undirected
45,38,undirected
45,45,undirected
45,15,undirected
