Id,Label,poids,style,instrument
0,benedictquinn,1,0,0
1,jasmineoakleymusic,3,0,0
2,thatdappermusician,5,0,2
3,rubenwan,2,3,0
4,dompalombimusic,3,0,1
5,huberjonathan,1,0,
6,vadesings,1,0,
7,alesssos,2,0,4
8,ralphb0ne,4,0,5
9,jamieboymusic,0,6,
10,bandlab,11,,
11,johnmarknelson,8,,0
12,connorterrones,2,7,0
13,_miri_music,1,0,0
14,maxoto_,0,4,
15,saucyvocals,4,6,
16,kirstenoboe,2,0,
17,jessegtrumpet,4,0,
18,thebrocktrumpet,6,0,2
19,rob_o_code,3,,4
20,ellie_flowers,1,2,
21,whatisthishonestly_,1,,
22,_imbored.lol,1,4,
23,solocelo_,0,3,
24,ysbsevv,2,,
25,ladler,3,3,1
26,.babycartel,1,4,
27,johnnygorillas,1,7,0
28,madklout,0,4,
29,rainbowdrop360,2,,
30,ashwinraorao,1,0,0
31,mikefrombandlab,2,3,2
32,christofersco21,6,1,
33,juliaprattmusic,4,,
34,mandagracemusic,3,,
35,ronartisii,2,1,0
36,__legrand__,2,0,0
37,itsbrux,6,3,
38,mmeadows4u,2,0,1
39,sarah_ann_nelson,4,4,
40,kkaitlynwilliamss,2,4,
41,orangewood,1,4,0
42,oliparker_music,3,0,
43,legendaryriffs,6,,
44,theofficialterrellshow,0,3,
45,_gabbysamone,1,,
46,cardazzle,0,,
47,distrokid,0,,
48,samthehorn,10,13,0
49,jeffreyeast,0,4,
50,renaejaera,1,0,1
51,sammyhaigmusic,0,0,0
52,kkaylagrove,0,,
53,jimlapbap,1,0,1
54,robertkomaniecki,0,0,1
55,its_adamneely,4,0,
56,ethan.smith008,1,2,0
57,h_block,6,,0
58,bigboifhorn,3,4,
59,pookman4,2,0,0
60,bensrightbrain,9,,
61,asap9uappo,0,4,
62,celinedreamx,0,4,
63,jaminthevan,4,2,
64,playwithgum,0,,
65,antoine4711,0,,
66,joshuapgomez,4,,
67,dishu.chan,1,4,
68,wavves_,0,,
69,its_thebeardedguitarist,0,0,0
70,itspoppymoon,2,,
71,pat.smith85,4,3,
72,lukehatchmusic,0,,
73,kevinogarrett,2,,
74,boydeco,3,0,0
75,alexdavidkimball,2,2,0
76,jacktjames_,0,,0
77,thunderstormartis,0,,
78,iamkucka,0,,
79,annie_bass,0,3,2
80,patloktok,1,1,
81,uncleswerve,0,,0
82,taylorcarroll.art,1,,
83,masholand,2,4,
84,jennyowenyoungs,0,,
85,kbthesinger,0,2,
86,melancholyhillband,0,2,0
87,thedrummerboy9,0,5,3
88,deathstar696,0,,
89,noazart,2,16,
90,theclarkbeckham,0,,2
91,sammiejaymusic,0,4,
92,jhocampanelli,2,,
93,amayamusic0fficial,3,3,
94,jermarcusriggins,2,,
95,officiallycharity,1,4,2
96,allanrandallpercus,1,,2
97,addisonkotu,0,,
98,abedin_saxstuff,10,,6
99,samuelplaysbrass,7,0,0
100,curlyheadseth_209,3,2,0
101,thicc_boi_choi,5,,4
102,julielov,1,,0
103,nickbricks_uk,2,0,0
104,martidasi,3,0,1
105,sugarlomusic,7,3,
106,buaunaballmusic,4,2,0
107,nextlifemusic,4,,6
108,justinscottriffs,0,5,0
109,mattp054,0,4,
110,drumcorpskat,0,,4
111,blowbrass,3,,4
112,benthomsonmusic,1,4,0
113,wise.john,1,0,1
114,adamjdorfmanmusic,4,0,0
115,brentathen,1,8,0
116,portia_davis,2,1,0
117,thebassvault,5,0,1
118,bensleftbrain,2,,
119,realquinnsullivan,2,2,0
120,dustbowlrevival,0,,
121,robertdelong,0,19,3
122,scoutdurwood,0,2,
123,je.ykub,2,,0
124,prkr.music,2,,
125,paulywantacracker14,0,,
126,albertltang,2,6,
