user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
benedictquinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,"follower_count : 813
following_count : 143
likes_count : 5001
video_count : 70
last_active : 2020-07-01
freq_post : 12 days
","jasmineoakleymusic
itsolihannaford","jasmineoakleymusic : https://tiktok.com/@benedictquinn/video/6986018195622694149 (mention, vidéo num: 10)
itsolihannaford : https://tiktok.com/@benedictquinn/video/6947652360986561798 (mention, vidéo num: 21)
","instruments : guitar (15), bass (8), drums (1), synth (2), chords (7)
styles : jazz (6), rnb (2), hiphop (3), indie (1), groove (5), neosoul (5), indiemusic (1), lofi (8)
others : asktiktok, music, instrumental, chill, lofi, duetwithme, lofihiphop, guitar, beat, chillmusic, naturevibes, lofichill, musicforyou, fypシ, fyp, indie, indiemusic, acoustic, singersongwriter, chillvibes
"
jasmineoakleymusic,"Artist, my debut single ‘Gone’ out now ⬇️",False,"follower_count : 5523
following_count : 67
likes_count : 65700
video_count : 66
last_active : 2020-12-13
freq_post : 10 days
","tenitinks1
pastelmusique
benedictquinn
thatdappermusician","tenitinks1 : https://tiktok.com/@jasmineoakleymusic/video/7053426673982639365 (mention, vidéo num: 6)
pastelmusique : https://tiktok.com/@jasmineoakleymusic/video/7048627943026724102 (mention, vidéo num: 12)
benedictquinn : https://tiktok.com/@jasmineoakleymusic/video/6975678994733731078 (mention, vidéo num: 14)
thatdappermusician : https://tiktok.com/@jasmineoakleymusic/video/6960587530571992326 (mention, vidéo num: 16)
","instruments : guitar (10), bass (3), piano (2), drums (2)
styles : jazz (2), rap (1), rnb (22), neosoul (2), gospel (3)
others : fy, fyp, rnb, ifiaintgotyou, aliciakeys, ifiantgotyou, riffs, nature, sunset, romantic, pinkskies, gone, music, singer, riffsandruns, piano, keys, paino, jam, musician
"
itsolihannaford,Posting beats here and there,False,"follower_count : 67
following_count : 26
likes_count : 221
video_count : 3
last_active : 2020-08-06
freq_post : 8 days
","benedictquinn
nothing_neue","benedictquinn : https://tiktok.com/@itsolihannaford/video/6947576160473713925 (mention, vidéo num: 2)
","instruments : bass (1), drums (1)
styles : jazz (3), neosoul (3), lofi (1)
others : jazz, beats, lofibeats, neosoul, jam, jazzguitar, lofi, bass, drums, boombap
"
tenitinks1,Artist & Background vocalist to the stars 💫,False,"follower_count : 325
following_count : 287
likes_count : 679
video_count : 8
last_active : 2020-08-06
freq_post : 54 days
",,,"instruments : 
styles : 
others : hrsandhrs, munilonghourschallenge, victoriamonet, fuck, frienducankeep, cover, singer, tiktoksinger, lovegalore, sza, tenitinks, coversong, singingvids, singers, live, summerwalkerchallenge, harmonies, angel, vocals, wonderful
"
pastelmusique,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,"follower_count : 1505
following_count : 99
likes_count : 8974
video_count : 135
last_active : 2021-05-18
freq_post : 0 days
","katpenkin
timbaland
glassanimalsofficial
pastelmusique","katpenkin : https://tiktok.com/@pastelmusique/video/7063889406217735430 (mention, vidéo num: 3)
pastelmusique : https://tiktok.com/@pastelmusique/video/7060114324144147717 (mention, vidéo num: 10)
","instruments : 
styles : indiemusic (2)
others : neosoulmusic, indiemusicartist, bedroomproducers, westcoastbeat, goodmorningengland, coffeemorningroutine, mundanenews, mundanebeats, superbowlhalft, superbowlshow, superbowl2022🏈, snoopdoggedit, drdreremix, liveperformance💯, indiepopartists, bedroompopartist, bedroommusician, glassanimals, heatwavesglassanimals, beatmakerlife
"
thatdappermusician,Keys mainly🎹among other things,False,"follower_count : 689
following_count : 456
likes_count : 6035
video_count : 58
last_active : 2020-12-26
freq_post : 6 days
","rjthecomposer
jeremyolenski
profflutebae
amandlafr
dompalombimusic
huberjonathan
vadesings
caseybassy
ralphb0ne
laurathelegs
sampopemusic
raquel.themartins
ellenonceagain
foolishfrankie
torreredman
damoyee
wizeprep
theonlytylerl
andrew.hadro
rorymckenna93
staceyryanmusic
alexengelberg
tiktok
andpacker
maha_yrysbekova
alesssos
meganhealytv
projectatlanticmusic
jimm3rz","profflutebae : https://tiktok.com/@thatdappermusician/video/6989540503507242246 (duo, vidéo num: 6)
dompalombimusic : https://tiktok.com/@thatdappermusician/video/6974904235649535238 (duo, vidéo num: 8)
huberjonathan : https://tiktok.com/@thatdappermusician/video/6968427695713651974 (duo, vidéo num: 12)
","instruments : bass (1), piano (1), chords (2), saxophone (1)
styles : jazz (3), funk (1), pop (1), hiphop (1), lofi (1), gospel (1)
others : jazztok, cedarwalton, musicschool, christmas, piano, jazz, ewf, september, feelgood, vibes, pop, effect, synths, head, duet, musician, unresolved, flutetok, cover, videogamemusic
"
katpenkin,"I make music and think I’m funny 🤗 

LOVE SEX FAME OUT 10.12.21
@katpenkin",False,"follower_count : 3206
following_count : 478
likes_count : 125600
video_count : 58
last_active : 2020-03-23
freq_post : 4 days
","aminahumphreys
str3lly2.0",,"instruments : 
styles : 
others : poetry, fyp, foryou, foryoupage, 10yearchallenge, rickygervais, theoffice, itgirl, viral, mybrawlsuper, simsselves, brighton, southpark, bts, musicvideo, bigasyoox, music, spotifywrapped, vanscheckerboardday, justdanceitout
"
profflutebae,"Professor of Flute Studies, TnSU 🐯🎶
Mother 🤱🏾
Flutebae®️",False,"follower_count : 21100
following_count : 91
likes_count : 275400
video_count : 30
last_active : 2019-09-10
freq_post : 30 days
","danfabervocalstudio
munilong
silksonic
brassville
gmurray888
thebookishbaddie
juliekirby",,"instruments : flute (5)
styles : 
others : flutebae, stitch, duet, producersoftiktok, musiciansoftiktok, beatmakers, flutetok, blackmusiciansoftiktok, musiceducator, flutistsoftiktok, hrsandhrs, hrsandhrschallenge, blackmusicians, blackcreatorsoftiktok, musiciantok, smallblackbusiness, flutist, blackcreatives, 1stviral, dancetok
"
dompalombimusic,GAME NIGHT IS OUT NOW!!! NEW YT VID LIVE at 1pm ET!!!,False,"follower_count : 39500
following_count : 1129
likes_count : 998000
video_count : 440
last_active : 2020-01-16
freq_post : 3 days
","scarypockets
spencerarjang
augie_bello
gil.assayas
jemheigis
alesssos
s_johnson_voiceovers
mrhamilton
alexengelberg
mollymcphaul
johnmarknelson
jakechapman
caseybassy
connorterrones
_miri_music
superguitarbros
davepollackmusic
theryanslatko
nicomendozamusic
danaegreenfield
julia.lange.guitar
elgatogaming
nickymoon_custom_cymbals
os_newyorkcity",,"instruments : drums (13)
styles : jazz (2), funk (3), rnb (1), hiphop (2), groove (2), lofi (1)
others : groove, valentinesday, drums, percussion, drumtok, drumking, mario64, retrogaming, vgm, nintendo64, dompalombisgamenight, greenhillzone, sonicthehedgehog, duet, drummers, snarkypuppy, goodforyou, pacman, midiart, retro
"
huberjonathan,"Berklee grad harmony nerd, LA. Check out my Insta!",False,"follower_count : 8538
following_count : 506
likes_count : 117000
video_count : 134
last_active : 2020-10-29
freq_post : 8 days
","its_joshoo
iamj3po
margauxbeylier
maxoto_",,"instruments : synth (1)
styles : jazz (1)
others : bebop, wurlitzer200a, itsyouilike, yourhonorimsorry, kiefer, whenthereslovearound, tour, synth, solo, stitch, transcribe, jazz, swinging, wurli, dancingqueen, abba, goat, coltrane
"
