Source,Target,Type
0,1,undirected
0,2,undirected
1,6,undirected
1,3,undirected
1,4,undirected
1,0,undirected
1,5,undirected
2,0,undirected
4,4,undirected
4,7,undirected
4,8,undirected
4,9,undirected
5,10,undirected
5,11,undirected
5,12,undirected
5,13,undirected
5,15,undirected
5,16,undirected
5,17,undirected
5,19,undirected
5,14,undirected
5,18,undirected
8,20,undirected
10,21,undirected
11,22,undirected
11,14,undirected
11,28,undirected
11,29,undirected
11,30,undirected
11,23,undirected
11,24,undirected
11,25,undirected
11,26,undirected
11,27,undirected
13,33,undirected
13,34,undirected
13,35,undirected
13,31,undirected
13,32,undirected
14,36,undirected
14,37,undirected
14,38,undirected
14,39,undirected
14,40,undirected
15,42,undirected
15,43,undirected
15,44,undirected
15,46,undirected
15,41,undirected
15,14,undirected
15,10,undirected
15,45,undirected
16,47,undirected
17,52,undirected
17,48,undirected
17,49,undirected
17,50,undirected
17,51,undirected
18,53,undirected
19,54,undirected
19,55,undirected
19,56,undirected
19,61,undirected
19,57,undirected
19,58,undirected
19,59,undirected
19,60,undirected
19,62,undirected
21,63,undirected
21,64,undirected
21,65,undirected
21,66,undirected
22,67,undirected
23,11,undirected
24,68,undirected
24,69,undirected
24,44,undirected
24,10,undirected
24,70,undirected
24,71,undirected
24,72,undirected
24,73,undirected
24,61,undirected
24,74,undirected
24,76,undirected
24,77,undirected
24,78,undirected
24,79,undirected
24,80,undirected
24,81,undirected
24,82,undirected
24,11,undirected
24,75,undirected
24,83,undirected
25,26,undirected
26,25,undirected
28,84,undirected
28,85,undirected
28,86,undirected
28,87,undirected
28,88,undirected
28,89,undirected
29,90,undirected
29,91,undirected
29,92,undirected
30,93,undirected
31,94,undirected
31,95,undirected
32,13,undirected
32,34,undirected
32,31,undirected
32,96,undirected
33,97,undirected
33,98,undirected
33,99,undirected
33,100,undirected
34,101,undirected
34,34,undirected
34,102,undirected
35,103,undirected
36,39,undirected
36,14,undirected
37,104,undirected
37,14,undirected
37,37,undirected
38,108,undirected
38,109,undirected
38,38,undirected
38,105,undirected
38,106,undirected
