user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
johnmarknelson,music maker in los angeles,False,"follower_count : 8227
following_count : 64
likes_count : 60400
video_count : 71
last_active : 2022-01-26
freq_post : 1 days
","christofersco21
dwrigz
juliaprattmusic
glenwoodcrowe
mandagracemusic
ronartisii","christofersco21 : https://tiktok.com/@johnmarknelson/video/7043847964447575302 (duo, vidéo num: 18)
juliaprattmusic : https://tiktok.com/@johnmarknelson/video/7043845595890519301 (duo, vidéo num: 20)
glenwoodcrowe : https://tiktok.com/@johnmarknelson/video/7040586950767611141 (duo, vidéo num: 27)
mandagracemusic : https://tiktok.com/@johnmarknelson/video/7040584390073699589 (duo, vidéo num: 28)
ronartisii : https://tiktok.com/@johnmarknelson/video/7040582998663712006 (duo, vidéo num: 29)
","instruments : guitar (18), bass (21), piano (9), drums (1), tuba (1)
styles : lofi (14)
others : newmusic, songwriting, musiciansoftiktok, fy, fyp, guitar, bass, beats, producersoftiktok, op1, chorus, singing, piano, viral, lofi, goals, synthtok, pianotutorial, duet, ambient
"
christofersco21,"Swimming in the ocean of music artistry 😊

🏳️‍🌈",False,"follower_count : 116
following_count : 398
likes_count : 726
video_count : 26
last_active : 2022-01-18
freq_post : 7 days
","ethanbortnick
evntyd_
ethanhodges02
its_thebeardedguitarist
christofersco21
vadesings
johnmarknelson
jacobcollier
sadiejean
sowan000
ryanrobsonbluer
liannefrankel
itspoppymoon
pat.smith85
lukehatchmusic
sammyraemusic","evntyd_ : https://tiktok.com/@christofersco21/video/7047329779011341615 (duo, vidéo num: 2)
ethanhodges02 : https://tiktok.com/@christofersco21/video/7046615972429548847 (duo, vidéo num: 3)
its_thebeardedguitarist : https://tiktok.com/@christofersco21/video/7044666734791576878 (duo, vidéo num: 5)
christofersco21 : https://tiktok.com/@christofersco21/video/7044657996613602606 (duo, vidéo num: 6)
vadesings : https://tiktok.com/@christofersco21/video/7044301087993548079 (duo, vidéo num: 7)
johnmarknelson : https://tiktok.com/@christofersco21/video/7043540738914667822 (duo, vidéo num: 8)
itspoppymoon : https://tiktok.com/@christofersco21/video/6984151226313149701 (duo, vidéo num: 22)
pat.smith85 : https://tiktok.com/@christofersco21/video/6983986893360762118 (duo, vidéo num: 24)
","instruments : 
styles : funk (1)
others : duet, cutmyfingersoff, fyp, fypシ, singer, 2022, music, singing, song, christoferscott, songwriter, gay, lgbt, wydnow, sadiejean, original, showme, valerie, amywinhouse, christmas
"
juliaprattmusic,singer/songwriter,False,"follower_count : 592
following_count : 225
likes_count : 2496
video_count : 19
last_active : 2022-01-06
freq_post : 5 days
","johnmarknelson
juliaprattmusic
jonahkagen
jakefinemusic
richmusicrich
finneas
billieeilish
kevinogarrett
boydeco
dogvsdogg","johnmarknelson : https://tiktok.com/@juliaprattmusic/video/7043452375255862534 (duo, vidéo num: 3)
juliaprattmusic : https://tiktok.com/@juliaprattmusic/video/7035776570866421038 (duo, vidéo num: 4)
boydeco : https://tiktok.com/@juliaprattmusic/video/7021223912109362437 (duo, vidéo num: 15)
","instruments : 
styles : 
others : voiceeffects, fyp, foryou, fy, mtjoy, mtjoycover, singersongwriter, singersoftiktok, cover, coversong, unsignedartist, christmassong, originalchristmassong, songwriter, originalsong, originalmusic, foryoupage, songwritersoftiktok, harmonies, duet
"
glenwoodcrowe,"Music maker, #veganbro 🌱, Cat dad
🎵follow on Spotify🎶🎧",False,"follower_count : 3188
following_count : 1713
likes_count : 90200
video_count : 590
last_active : 2022-01-24
freq_post : 0 days
","voyagebycello
tommorello
justsomemustard
lemonadesnow
glenwoodcrowe
teenage.engineering
calvero_sings
rachelkcollier
wildcardjess
carolineplz
stephaniecalkins5
arson4arson","voyagebycello : https://tiktok.com/@glenwoodcrowe/video/7052141809002335534 (duo, vidéo num: 12)
justsomemustard : https://tiktok.com/@glenwoodcrowe/video/7056595547419036974 (mention, vidéo num: 1)
glenwoodcrowe : https://tiktok.com/@glenwoodcrowe/video/7054721960017939758 (mention, vidéo num: 5)
calvero_sings : https://tiktok.com/@glenwoodcrowe/video/7054197633614875950 (mention, vidéo num: 8)
rachelkcollier : https://tiktok.com/@glenwoodcrowe/video/7053805795724594478 (mention, vidéo num: 9)
","instruments : 
styles : 
others : veganbro, ricebowls, garlicdip, rawgarlic, tapenade, iloveolives, selfpromotion, newmusicoutnow, improvchef, jazzkitchen, beets, freshbeets, friedsalad, miyokos, ilovebeets, veganuary, hikingwithglen, diymusician, handmadealbum, customstamps
"
mandagracemusic,Professional 🚿 shower singer,False,"follower_count : 3480
following_count : 175
likes_count : 42800
video_count : 252
last_active : 2022-01-25
freq_post : 4 days
","laurenspencersmith
pinksweatsmusic
victoriacanal
jamiemillmusic
staceyryanmusic
itshaleyjoelle
alexdavidkimball
vaultboymusic
jacktjames_
johnmarknelson
liannefrankel
pentatonix
sadiejean
jonahkagen
pianojordan
classicaltrombone
lawrencetheband","alexdavidkimball : https://tiktok.com/@mandagracemusic/video/7043933809271704879 (duo, vidéo num: 11)
jacktjames_ : https://tiktok.com/@mandagracemusic/video/7039518639279721774 (duo, vidéo num: 14)
johnmarknelson : https://tiktok.com/@mandagracemusic/video/7039498031292681518 (duo, vidéo num: 15)
","instruments : 
styles : rnb (1)
others : duet, openversechallenge, fingerscrossed, openverse, songwriting, torikelly, pinksweats, songwritingchallenge, singingduet, lyricchallenge, songwritingduet, hrsandhrs, munilong, hrsandhrschallenge, voiceeffects, rnb, breatheagain, sarabareilles, singingcover, greenscreensticker
"
ronartisii,,False,"follower_count : 39
following_count : 19
likes_count : 182
video_count : 14
last_active : 2022-01-13
freq_post : 62 days
","johnmarknelson
thunderstormartis
hydroflask","johnmarknelson : https://tiktok.com/@ronartisii/video/7040548446859988270 (duo, vidéo num: 2)
thunderstormartis : https://tiktok.com/@ronartisii/video/6916277369137401093 (mention, vidéo num: 7)
","instruments : guitar (3), drums (1)
styles : funk (1)
others : guitar, letsgo, riff, guitarsolo, duetwithme, duetme, guitartok, funk, fastguitar, duet, tbt, dadlife, kidquestions, athome, frozen, drums, soulmusic, electricguitar, hawaii
"
evntyd_,"Stream Parisian Fur
Pre-Save Boredom
⬇️",False,"follower_count : 58300
following_count : 71
likes_count : 511200
video_count : 240
last_active : 2022-01-26
freq_post : 0 days
","dakotadrummorgan
number9revloution
andrewdvan
guitartemple
fakedeepnick
brlzeebee
lookaleaf","dakotadrummorgan : https://tiktok.com/@evntyd_/video/7052519900937555246 (duo, vidéo num: 20)
number9revloution : https://tiktok.com/@evntyd_/video/7056162757896604974 (mention, vidéo num: 6)
guitartemple : https://tiktok.com/@evntyd_/video/7055708969611889967 (mention, vidéo num: 9)
fakedeepnick : https://tiktok.com/@evntyd_/video/7054911610674269487 (mention, vidéo num: 12)
brlzeebee : https://tiktok.com/@evntyd_/video/7054704924667596079 (mention, vidéo num: 13)
","instruments : guitar (3), bass (2)
styles : 
others : music, fyp, answer, guitar, guitartok, guitarlesson, lyrics, songwriting, musician, mayo, dare, daredevil, neveragain, songwriter, foryou, bass, dreampop, postpunk, spotify, newmusic
"
ethanhodges02,Insta @ethanhodgesss,False,"follower_count : 98700
following_count : 72
likes_count : 1300000
video_count : 76
last_active : 2022-01-24
freq_post : 2 days
","iamtomwalker
lewiscapaldi
jessiereyez
shawnmendes
postmalone
coldplay
billieeilish
usher
itsjennaraine
jamesarthur23
arlissa_xx
jonasblue
edsheeran
laurenspencersmith
ddlovato
sadiejean
the1975
lordhuron
faouziaofficial
johnlegendofficial",,"instruments : piano (3)
styles : 
others : acousticcovers, tomodell, planttok, roland, plantsoftiktok, shawnmendes, postmalone, ethanhodges, acoustic, billieeilish, curlyhair, myfuture, adele, coversforlovers, usher, myboo, jennaraine, fyp, cover, jamesarthur
"
its_thebeardedguitarist,"Guitarist/YouTuber 🎸 
📍London 🇬🇧
👇Sample Packs & Merch👇",False,"follower_count : 26200
following_count : 99
likes_count : 106600
video_count : 105
last_active : 2022-01-23
freq_post : 2 days
","keshi
summerwalker",,"instruments : guitar (5), chords (1)
styles : rnb (1), groove (3), neosoul (13), lofi (3)
others : acoustic, fingerpicking, guitar, neosoul, lofi, rnbguitar, chillhop, guitarchords, guitartips, musictheory, learnguitar, sultansofswing, sologuitar, guitarsolo, fingerstyle, direstraits, acousticguitar, fingerstyleguitar, neosoulguitar, guitartok
"
vadesings,"Multi-Award Winning A Cappella R&B Quintet 
🎤🎙🇬🇧
20K✅ 30K✅40K✅ 50K✅ 75K💨",False,"follower_count : 65500
following_count : 409
likes_count : 440100
video_count : 29
last_active : 2022-01-23
freq_post : 11 days
","saucyvocals
herofficial
midenaike
natalie_lindi
usher
swinglesingers
e_reacts
boyziimenofficial
pyebz","saucyvocals : https://tiktok.com/@vadesings/video/7042416249300831494 (duo, vidéo num: 4)
midenaike : https://tiktok.com/@vadesings/video/6987121574746901766 (duo, vidéo num: 11)
natalie_lindi : https://tiktok.com/@vadesings/video/6981217985289669894 (duo, vidéo num: 12)
swinglesingers : https://tiktok.com/@vadesings/video/7056457082714819846 (mention, vidéo num: 0)
e_reacts : https://tiktok.com/@vadesings/video/7056457082714819846 (mention, vidéo num: 0)
","instruments : 
styles : jazz (1), rnb (12)
others : foryou, foryoupage, vade, acapella, fypシ, africa, vadesings, rnb, boyziimen, thankyou, ghanatiktok🇬🇭, nigeriantiktok, zimtiktok, saucyvadeduet, vadeduets, steviewonder, fyp, vocals, jazz, cyndilauper
"
