user_name,nickname,signature,verified,follower_count,following_count,likes_count,video_count,last_active,mentions,duos,collabs,collabs_url,hashtags,instruments,styles
pastelmusique,Ｐａｓｔｅｌ,"FOLLOW ME ON IG ✨
Ｐａｓｔｅｌ",False,1069,84,4739,75,2022-01-06,"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']",[],"['bomelmusic', 'katpenkin', 'jasmineoakleymusic', 'orlarae__', 'blowsom_tiktok', 'emmahoet', 'jacksonmathod', 'niminowayjose']","{'bomelmusic': 'https://tiktok.com/@bomelmusic/video/7045161513035779333', 'katpenkin': 'https://tiktok.com/@katpenkin/video/7043353571714190597', 'jasmineoakleymusic': 'https://tiktok.com/@jasmineoakleymusic/video/7041232478270409989', 'orlarae__': 'https://tiktok.com/@orlarae__/video/7034098245164977414', 'blowsom_tiktok': 'https://tiktok.com/@blowsom_tiktok/video/7030879149006802182', 'emmahoet': 'https://tiktok.com/@emmahoet/video/7028601148156284165', 'jacksonmathod': 'https://tiktok.com/@jacksonmathod/video/7027887284624116997', 'niminowayjose': 'https://tiktok.com/@niminowayjose/video/7021167664697576710'}","['ometv', 'ome_tv', 'ometvindonesia', 'cuteness', 'foryouu', 'tiktokpoll', '2022fashion', 'hello2022', 'bye2021', 'newyearsoutfit', 'foryou2022', 'tiktokmusique', 'groovy', 'funktiktok', 'musicproducer', 'idsong', 'gfunk', 'funkopop', 'fyp', 'pourtoi', 'beatmaker', 'tiktokrewind2021', 'rewindchallenge', '2021', 'foryou2021', 'tiktokmusic', 'jazztok', 'christmassong', 'rnbvibes', 'rnbtok', 'soulmusic', 'france🇫🇷', 'welcometofrance', 'frenchmorning', 'songwriter', 'livemusic', 'singer', 'bossanova', 'rnbsinger', 'neosoulmusic', 'femalesinger', 'indiepopmusic', 'studiosessions', 'lofivibes', 'omgvoices', 'neosoulguitar', 'neosoulvibes', 'lofihiphop', 'rnbmusic', 'originalmusic', 'lofibeat', 'coversong', 'britneychallenge', 'britneyspears', 'jazzpiano', 'pianomusic', 'lofijazz', 'singersongwriter', 'femalevocalist', 'fypp', 'housemusic', 'originalsong', 'houseoftiktok', 'techno', 'fypage', 'partytime', 'aftershow', 'wildparty', 'partygirl', 'fypシ', 'parisvlog', 'paris', 'foryoupage', 'musiciansoftiktok', 'music', 'indiemusic', 'fypmusic', 'hiphopbeat', 'trumpetplayer', 'frenchtouch', 'popsong', 'ladyhearmetonight', 'funkyboys', 'lofimusicvibes', 'whatwouldpoptartsdot', 'viral', 'songwritersoftiktok', 'singing', 'housemusiclovers', 'bossanovachords', 'beatmakingtutorial', 'bedroompopmusic', 'poppunkkid', 'beatmakertips', 'producingbeats', 'lofibeats', 'bedroomproducer', 'jamsession']",[],['indiemusic']
katpenkin,katpenkin,"I make music and think I’m funny 🤗 

LOVE SEX FAME OUT 10.12.21
@katpenkin",False,3163,448,124200,51,2021-12-29,"['aminahumphreys', 'str3lly2.0']",[],"['aminahumphreys', 'str3lly2.0']","{'aminahumphreys': 'https://tiktok.com/@aminahumphreys/video/7044507066962070789', 'str3lly2.0': 'https://tiktok.com/@str3lly2.0/video/7024076963723709702'}","['fyp', 'foryou', 'foryoupage', 'mybrawlsuper', 'brighton', 'viral', 'bts', 'musicvideo', 'bigasyoox', 'music', 'simsselves', 'spotifywrapped', 'vanscheckerboardday', 'justdanceitout', 'hercules', 'drinking', 'tkmaxxtalentshow', 'katpenkin', 'abettertime', 'newmusic', 'singer', 'mullet', 'stitch', 'bossmoves', 'takingcareofbiz', 'jamiemovie', 'gemini', 'toxic', 'work', 'bartender', 'producer', 'for', 'you', 'page', 'pageforyou', 'friends', 'rap', 'uk', 'besties']",[],['rap']
jasmineoakleymusic,Jasmine Oakley,Singer/Artist  ✨,False,5533,58,65300,54,2022-01-02,"['pastelmusique', 'benedictquinn', 'thatdappermusician', 'marcrebillet', 'elena.honey']","['rubenwan', 'edbledbl', 'kaineofoeme']","['pastelmusique', 'benedictquinn', 'thatdappermusician', 'rubenwan', 'marcrebillet', 'elena.honey', 'edbledbl', 'kaineofoeme']","{'pastelmusique': 'https://tiktok.com/@pastelmusique/video/7048627943026724102', 'benedictquinn': 'https://tiktok.com/@benedictquinn/video/6975678994733731078', 'thatdappermusician': 'https://tiktok.com/@thatdappermusician/video/6960587530571992326', 'rubenwan': 'https://tiktok.com/@rubenwan/video/6946008339134418181', 'marcrebillet': 'https://tiktok.com/@marcrebillet/video/6936917937269869830', 'elena.honey': 'https://tiktok.com/@elena.honey/video/6928044428523244806', 'edbledbl': 'https://tiktok.com/@edbledbl/video/6925469053968452870', 'kaineofoeme': 'https://tiktok.com/@kaineofoeme/video/6925465236040436997'}","['beats', 'rnb', 'singer', 'vocalist', 'riffs', 'fy', 'fyp', 'guitarist', 'bass', 'drums', 'freeme', 'bossa', 'clones', 'soul', 'music', 'gospel', 'piano', 'riff', 'soulmusic', 'guitar', 'producer', 'outdoors', 'jazz', 'songwriter', 'vocals', 'cover', 'shilohdynasty', 'voiceeffects', 'alexisley', 'pjmorton', 'acoustic', 'vcalist', 'harmonies', 'freestyle', 'rap', 'keys', 'production', 'jheneaikovibes', 'femaleproducer', 'neosoul', 'originalsong', 'beat', 'lovesong', 'foryoupage', 'vibes', 'duet', 'soulvocals', 'heartbreak', 'sidewayscover', 'femalesinger', 'writing', 'orginal', 'remix', 'jazminesullivancover', 'jazminesullivanriffchallenge', 'jazminesullivan', 'riffchallenge', 'roadto10kchallenge', 'original', 'aliciakeys', 'iaintgotyou', 'iaintgotyoucover', 'rnbsinger', 'singers', 'edbl', 'live', 'lofi', 'swv', 'rain', 'raincover', 'swvraincover']","['guitar', 'bass', 'piano', 'drums']","['jazz', 'rap', 'rnb', 'neosoul', 'lofi', 'gospel']"
orlarae__,orlarae,"Stream my new single Butterfly OUT NOW 🦋🦋🦋
Insta @orlarae",False,177,89,818,21,2021-12-18,[],"['adelaidem_', 'orlarae__', 'lyrics.view', 'jacobcollier']","['adelaidem_', 'orlarae__', 'lyrics.view', 'jacobcollier']","{'adelaidem_': 'https://tiktok.com/@adelaidem_/video/7029737493511671046', 'orlarae__': 'https://tiktok.com/@orlarae__/video/7008896968764230918', 'lyrics.view': 'https://tiktok.com/@lyrics.view/video/7008872241727294726', 'jacobcollier': 'https://tiktok.com/@jacobcollier/video/7006439919455358213'}","['customersmostloved', 'mybrawlsuper', 'fyp', 'asoschaostocalm', 'spotifywrapped', 'verypjportraits', 'honor50duet', 'carcrash', 'drake', 'duet', 'justdanceitout', 'tkmaxxtalentshow', 'takingcareofbiz', 'singer', 'singers', 'harmonies', 'cute', 'steviewonder', 'jacobcollier', 'singingchallenge', 'twobestfriendsinaroom', 'bossupyourgame', 'bestie', 'uni', 'uni2021', 'jazminesullivan', 'insecureriffchallenge', 'jazminesullivanriffchallenge', 'singersoftiktok', 'insecure', 'butterfly', 'rnb', 'music', 'artist', 'dogsoftiktok']",[],['rnb']
blowsom_tiktok,BLOWSOM,"Come say hi on insta ⬆️
I’M PLAYING IN PARIS IN FEBRUARY 🕺⬇️",False,2170,72,14400,65,2022-01-05,['im_siowei'],['teresa_jack'],"['im_siowei', 'teresa_jack']","{'im_siowei': 'https://tiktok.com/@im_siowei/video/7042046743449586949', 'teresa_jack': 'https://tiktok.com/@teresa_jack/video/7010674410646490374'}","['tiktokmusique', 'tiktokmusic', 'idsong', 'musicproducer', 'songmaking', 'songmakingvideo', 'songidea', 'songideas', 'vocalharmonies', 'dog', 'musicvideo', 'motorbike', 'photoshoot', 'multiinstrumentalist', 'ableton', 'fender', 'blowsom', 'rosiana', 'studiosession', 'indie', 'indiepop', 'bedroompop', 'concert', 'gig', 'livemusic', 'bts', 'onemanband', 'spotify', 'halloween', 'london', 'costumeshop', 'photography', 'bestshot', 'picoftheday', 'photographer', 'fyp', 'newsong', 'newmusic', 'foryou', '13', 'jam', 'homestudio', '12', '11', 'pourtoi', '10', 'duo']",[],['indie']
emmahoet,emmahoet,"Enchanteuse 🧚‍♀️🎼
Come say hi on insta: @emmahoetmusic",False,11400,44,1400000,8,2021-12-26,"['pastelmusique', 'pastelmusiq', 'blowsom_tiktok']",[],"['pastelmusique', 'pastelmusiq', 'blowsom_tiktok']","{'pastelmusique': 'https://tiktok.com/@pastelmusique/video/7028593193662827782', 'pastelmusiq': 'https://tiktok.com/@pastelmusiq/video/7008850490117082373', 'blowsom_tiktok': 'https://tiktok.com/@blowsom_tiktok/video/6976673777581051142'}","['christmas', 'tiktokmusique', 'fy', 'fyp', 'music', 'amsterdam', 'foryou', 'piano', 'cestlarentree', 'pourtoi', 'viral']",['piano'],[]
jacksonmathod,Jackson Mathod,Jazz Trumpeter from London. Fun music forever.,False,20,14,11,1,2021-03-19,[],[],[],{},"['hellotiktok', 'dangelo', 'funk', 'beats', 'voodoo', 'producer']",[],['funk']
niminowayjose,nimino,Full time beat farmer,True,1415,98,49100,61,2021-11-23,"['pastelmusique', 'sarahcothran', 'pastelmusiq', 'lucas.geddes']",[],"['pastelmusique', 'sarahcothran', 'pastelmusiq', 'lucas.geddes']","{'pastelmusique': 'https://tiktok.com/@pastelmusique/video/7013435390090579206', 'sarahcothran': 'https://tiktok.com/@sarahcothran/video/6971144116180634885', 'pastelmusiq': 'https://tiktok.com/@pastelmusiq/video/6969591642055609606', 'lucas.geddes': 'https://tiktok.com/@lucas.geddes/video/6969591642055609606'}","['clairo', 'remix', 'verypjportraits', 'tigerpigdance', 'fyp', 'foryou', 'chillmusic', 'downtempo', 'breakup', 'breakupmusic', 'sportsdirectnaughtylist', 'vanscheckerboardday', 'justdanceitout', 'relaxingmusic', 'funkmusic', 'electronicfunk', 'bounce', 'garagemusic', 'ukg', 'ukbass', 'chilloutmusic', 'zenmusic', 'norahjones', 'sadsongs', 'makeitcinematic', 'dubstep', 'footwork', '123pandorame', 'pinkpantheress', 'breakupsongs🔥', 'bebold', 'londonproducer', 'cinderellamovie', 'whatareyoulisteningto', 'whatareyoulisteniningto', 'ultramusic', 'londonstudio', 'hiphop', 'jamiemovie', 'foryoupage', 'electronicmusic', 'stereosound', 'echo', 'delay', 'spicyfood', 'spicy', 'spicysnap', 'hotwings', 'hotwingschallenge', 'unfoldchallenge', 'chillin', 'rave', 'dance', 'dj', 'indieelectronic', 'blowthisup', 'hiphopbeats', 'downtempomusic', 'viral', 'beatstochill', 'fypシ', 'lofi', 'lofibeats', 'chillout', 'chill', 'producer', 'sunny', 'summer', 'heavenly', 'tonightyoubelongtome', 'youbelongtome', 'dontletitflop', 'kanye', 'kanyetok']",[],"['hiphop', 'lofi', 'dubstep']"
benedictquinn,Ben Quinn,"oh hey!
guitarist and producer 
go follow my insta @benedictquinn",False,803,137,4962,69,2021-11-03,"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']",[],"['jasmineoakleymusic', 'itsolihannaford', 'augie_bello']","{'jasmineoakleymusic': 'https://tiktok.com/@jasmineoakleymusic/video/6986018195622694149', 'itsolihannaford': 'https://tiktok.com/@itsolihannaford/video/6947652360986561798', 'augie_bello': 'https://tiktok.com/@augie_bello/video/6926180624596290821'}","['asktiktok', 'music', 'instrumental', 'chill', 'lofi', 'duetwithme', 'lofihiphop', 'guitar', 'beat', 'chillmusic', 'naturevibes', 'lofichill', 'musicforyou', 'fypシ', 'fyp', 'indie', 'indiemusic', 'acoustic', 'singersongwriter', 'chillvibes', 'vibes', 'bass', 'vibe', 'nature', 'rnb', 'chords', 'neosoul', 'loop', 'guitartutorial', 'pickupmusic', 'jazztok', 'groove', 'lofibeat', 'hiphop', 'foryoupage', 'givemeabeat', 'wurlitzer', 'beats', 'housemusic', 'synthesizer', 'rave', 'areyoureadytowear', 'lofibeats', 'jdilla', 'gfunk', 'synth', 'jam', 'jazz', 'keyboard', 'livemusic', 'live', 'beatmaker', 'producer', 'drums', 'newmusic', 'guitartok', 'fender', 'gibson', 'soul', 'retro', 'loops', 'tiktokmusic', 'jams', 'againsttheclock', 'saxophone', 'lofiguitar']","['guitar', 'bass', 'drums', 'synth', 'chords', 'saxophone']","['jazz', 'rnb', 'hiphop', 'indie', 'groove', 'neosoul', 'indiemusic', 'lofi']"
thatdappermusician,Myron Evans,Keys mainly🎹among other things,False,680,448,5995,57,2021-12-10,"['tiktok', 'andpacker', 'maha_yrysbekova', 'alesssos', 'meganhealytv', 'projectatlanticmusic', 'jimm3rz']","['rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic', 'huberjonathan', 'vadesings', 'caseybassy', 'ralphb0ne', 'laurathelegs', 'sampopemusic', 'raquel.themartins', 'ellenonceagain', 'foolishfrankie', 'torreredman', 'damoyee', 'wizeprep', 'theonlytylerl', 'andrew.hadro', 'rorymckenna93', 'staceyryanmusic', 'alexengelberg']","['tiktok', 'rjthecomposer', 'jeremyolenski', 'profflutebae', 'amandlafr', 'dompalombimusic', 'andpacker', 'huberjonathan', 'maha_yrysbekova', 'vadesings', 'alesssos', 'caseybassy', 'ralphb0ne', 'laurathelegs', 'sampopemusic', 'raquel.themartins', 'ellenonceagain', 'foolishfrankie', 'torreredman', 'meganhealytv', 'damoyee', 'wizeprep', 'theonlytylerl', 'projectatlanticmusic', 'andrew.hadro', 'rorymckenna93', 'staceyryanmusic', 'jimm3rz', 'alexengelberg']","{'tiktok': 'https://tiktok.com/@tiktok/video/7040035951363542277', 'rjthecomposer': 'https://tiktok.com/@rjthecomposer/video/7001908540176649477', 'jeremyolenski': 'https://tiktok.com/@jeremyolenski/video/6992599275460955397', 'profflutebae': 'https://tiktok.com/@profflutebae/video/6989540503507242246', 'amandlafr': 'https://tiktok.com/@amandlafr/video/6976628847538228485', 'dompalombimusic': 'https://tiktok.com/@dompalombimusic/video/6974904235649535238', 'andpacker': 'https://tiktok.com/@andpacker/video/6968436019448335621', 'huberjonathan': 'https://tiktok.com/@huberjonathan/video/6968427695713651974', 'maha_yrysbekova': 'https://tiktok.com/@maha_yrysbekova/video/6967108176084864261', 'vadesings': 'https://tiktok.com/@vadesings/video/6966966493846244613', 'alesssos': 'https://tiktok.com/@alesssos/video/6964270665725725958', 'caseybassy': 'https://tiktok.com/@caseybassy/video/6951131646531783941', 'ralphb0ne': 'https://tiktok.com/@ralphb0ne/video/6951125766427970822', 'laurathelegs': 'https://tiktok.com/@laurathelegs/video/6945196290233863429', 'sampopemusic': 'https://tiktok.com/@sampopemusic/video/6942909297332342022', 'raquel.themartins': 'https://tiktok.com/@raquel.themartins/video/6942883016842677509', 'ellenonceagain': 'https://tiktok.com/@ellenonceagain/video/6941048377652071686', 'foolishfrankie': 'https://tiktok.com/@foolishfrankie/video/6939484227045969158', 'torreredman': 'https://tiktok.com/@torreredman/video/6938795422857055493', 'meganhealytv': 'https://tiktok.com/@meganhealytv/video/6938111098943966469', 'damoyee': 'https://tiktok.com/@damoyee/video/6937761344317967621', 'wizeprep': 'https://tiktok.com/@wizeprep/video/6937269786925747461', 'theonlytylerl': 'https://tiktok.com/@theonlytylerl/video/6936215679314005253', 'projectatlanticmusic': 'https://tiktok.com/@projectatlanticmusic/video/6932121200319532293', 'andrew.hadro': 'https://tiktok.com/@andrew.hadro/video/6930282090340683013', 'rorymckenna93': 'https://tiktok.com/@rorymckenna93/video/6924626969044864261', 'staceyryanmusic': 'https://tiktok.com/@staceyryanmusic/video/6924295044669164806', 'jimm3rz': 'https://tiktok.com/@jimm3rz/video/6924280316492320006', 'alexengelberg': 'https://tiktok.com/@alexengelberg/video/6924278918593727749'}","['christmas', 'piano', 'jazz', 'ewf', 'september', 'feelgood', 'vibes', 'pop', 'effect', 'synths', 'head', 'duet', 'jazztok', 'musician', 'unresolved', 'flutetok', 'cover', 'videogamemusic', 'videogamejazz', 'nintendo', 'ds', 'ost', 'jazzfusion', 'stitch', 'thelicc', 'licctok', 'flugelhorn', 'dog', 'mariokart', 'remix', 'reharm', 'licc', 'chords', '6thdiminished', 'practice', 'rough', 'bossanova', 'trumpet', 'beats', 'loop', 'practicesessions', 'gospel', 'fyp', 'music', 'ep', 'americanboy', 'rant', 'alphabettest', 'musicyoutuber', 'vgmusic', 'christiantk', 'seventhdayadventistchristian', 'brazil', 'minecraft', 'musictok', 'saxophone', 'weakchallenge', 'rhythm', 'birthday', 'funk', 'birthdaysong', 'fun', 'vibetrain', 'multiinstrumentalist', 'thomasthetankengine', 'lofi', 'chillhop', 'moonchild', 'lofitok', 'pureimagination', 'cool', 'justforfun', 'pianofirst', 'bass', 'folkbass', 'folkmusic', 'hiphop', 'foryou', 'polyrhythm', 'snarkypuppy']","['bass', 'piano', 'chords', 'saxophone']","['jazz', 'funk', 'pop', 'hiphop', 'lofi', 'gospel']"
