user_name,signature,verified,basic_stats,links
calfbeats,"🔥🪐🌌💫☄️
music producer/musician 
🥁🎹🎚️🎸🎙️
𝚒𝚐: calfbeats 🔉",False,"follower_count : 110
following_count : 20
likes_count : 7989
video_count : 5
last_active : 2022-02-12
","https://tiktok.com/@calfbeats/video/7063975745026247941
https://tiktok.com/@calfbeats/video/7064845090405108997"
tjviolamusic,"Teej
I’d like to think that I can write music
YouTube/Spotify/iTunes: TJ Viola",False,"follower_count : 145
following_count : 173
likes_count : 3446
video_count : 33
last_active : 2022-01-26
",https://tiktok.com/@tjviolamusic/video/7057324470108769583
willeason1,Musician and music creator 🕺,False,"follower_count : 1738
following_count : 85
likes_count : 12600
video_count : 118
last_active : 2021-02-18
","https://tiktok.com/@willeason1/video/6930590625939180805
https://tiktok.com/@willeason1/video/6952125475892284678
https://tiktok.com/@willeason1/video/6946993929699069190
https://tiktok.com/@willeason1/video/6954382067299814661
https://tiktok.com/@willeason1/video/7026475225134959877
https://tiktok.com/@willeason1/video/6955035057287482630
https://tiktok.com/@willeason1/video/6956657663023353093"
vincenzocrimaco_pianist,"Pianist • Composer 🎵🎹
Listen my music on Spotify ⬇️",False,"follower_count : 6294
following_count : 1504
likes_count : 97200
video_count : 139
last_active : 2021-08-09
",https://tiktok.com/@vincenzocrimaco_pianist/video/6994395919449869574
huberjonathan,"Berklee grad harmony nerd, LA. Check out my Insta!",False,"follower_count : 8539
following_count : 506
likes_count : 117000
video_count : 134
last_active : 2021-02-19
",https://tiktok.com/@huberjonathan/video/6931068768428805382
_buttonmasher,"If you like what youre hearing check me out on spotify, youtube and instagram.",False,"follower_count : 1073
following_count : 20
likes_count : 8125
video_count : 53
last_active : 2021-06-21
",https://tiktok.com/@_buttonmasher/video/6976331957105855750
noisebody,jazz spirited,False,"follower_count : 137
following_count : 59
likes_count : 1263
video_count : 17
last_active : 2021-02-01
",https://tiktok.com/@noisebody/video/6924364514276281605
jemheigis,Keys/voice,False,"follower_count : 2755
following_count : 13
likes_count : 11000
video_count : 8
last_active : 2022-01-08
",https://tiktok.com/@jemheigis/video/7050951268478553350
martinomora,,False,"follower_count : 27
following_count : 10
likes_count : 605
video_count : 2
last_active : 2020-12-30
","https://tiktok.com/@martinomora/video/6912102073693752578
https://tiktok.com/@martinomora/video/6913232583983762690"
scjmusic,"Productor y pianista🎧✨ 
Mid, México🇲🇽",False,"follower_count : 219
following_count : 172
likes_count : 1969
video_count : 26
last_active : 2021-07-14
",https://tiktok.com/@scjmusic/video/6984581916062125317
johnshrestha324,,False,"follower_count : 262
following_count : 54
likes_count : 1072
video_count : 18
last_active : 2021-08-04
",https://tiktok.com/@johnshrestha324/video/6992434792570604826
